Time(s),CPU_Usage(%),RAM_Usage(MB),GPU_Usage(%),GPU_Memory(MB),Disk_Read(MB/s),Disk_Write(MB/s)
0.0019354820251464844,0.3,1076.56640625,0.0,1.0,0.0,0.0
0.5277664661407471,0.0,1100.7421875,0.0,1.0,1.8720368896778274,0.0
1.0496270656585693,0.3,1100.98828125,0.0,1.0,0.0,0.0
1.571270227432251,0.3,1100.97265625,0.0,1.0,0.0,0.0
2.092646598815918,0.0,1100.97265625,0.0,1.0,0.01498437679342202,0.09739844915724313
2.6143157482147217,1.3,1073.05078125,0.0,1.0,0.0,0.0
3.1362218856811523,0.5,1081.62109375,0.0,1.0,0.0,228.78126003582403
3.6578783988952637,0.0,1105.3203125,0.0,1.0,0.0,0.0
4.179394960403442,0.0,1105.56640625,0.0,1.0,0.0,0.0
4.70069146156311,0.3,1105.56640625,0.0,1.0,0.0,0.0
5.221673250198364,0.2,1106.26953125,0.0,1.0,0.0,0.0
5.743041515350342,0.5,1106.26953125,0.0,1.0,0.0,0.0
6.264362573623657,0.2,1106.26953125,0.0,1.0,0.0,0.0
6.7856128215789795,0.3,1106.26953125,0.0,1.0,0.0,0.0
7.3067662715911865,0.0,1106.26171875,0.0,1.0,0.0,0.0674585383617369
7.827984094619751,1.0,1081.08203125,0.0,1.0,0.0,0.04496680459585042
8.349376678466797,0.0,1097.04296875,0.0,1.0,242.6944042171515,1.4459473980956423
8.870626449584961,0.5,1098.0234375,0.0,1.0,0.0,0.0
9.392040729522705,0.0,1114.9921875,0.0,1.0,0.0,0.0
9.91340947151184,0.0,1116.1015625,0.0,1.0,0.0,0.0
10.434549331665039,0.3,1115.8828125,0.0,1.0,0.0,0.0
10.955805778503418,0.7,1118.76953125,0.0,1.0,0.0,7.096734769300574
11.477411985397339,0.3,1117.94921875,0.0,1.0,0.0,0.0
11.998672008514404,3.3,1153.41015625,0.0,1.0,0.0,0.0
12.520365953445435,1.0,1157.73828125,0.0,1.0,0.0,0.0
13.042362213134766,2.6,1179.00390625,0.0,1.0,0.0,0.17211569687007144
13.564425468444824,2.5,1180.80078125,0.0,1.0,0.0,43.322695611985615
14.086218118667603,2.8,1176.6484375,0.0,1.0,0.0,0.6063831099669782
14.608072280883789,3.0,1177.8671875,0.0,1.0,0.0,0.0
15.12968897819519,2.8,1174.2734375,0.0,1.0,0.0,0.0
15.65160608291626,2.8,1175.82421875,0.0,1.0,0.0,0.0
16.173558235168457,3.0,1172.07421875,0.0,1.0,0.0,0.0
16.695392608642578,2.8,1182.94140625,0.0,1.0,0.0,0.0
17.217191457748413,2.3,1183.30078125,0.0,1.0,0.0,0.0
17.739348888397217,2.0,1177.17578125,0.0,1.0,0.0,0.0
18.2622172832489,2.0,1178.76953125,0.0,1.0,0.0,0.0821789008918552
18.784642696380615,2.8,1172.875,0.0,1.0,0.0,0.0
19.30696439743042,2.3,1179.39453125,0.0,1.0,0.0,0.0
19.829831838607788,1.8,1153.61328125,0.0,1.0,0.0,0.0
20.353958129882812,2.5,1185.296875,0.0,1.0,0.0,0.0
20.876869916915894,2.0,1178.03125,0.0,1.0,0.0,0.0
21.39910340309143,1.8,1191.19921875,0.0,1.0,0.0,0.0
21.921054363250732,1.8,1200.171875,0.0,1.0,0.0,0.0
22.44303584098816,2.5,1203.72265625,0.0,1.0,0.0,0.0
22.965357065200806,1.5,1200.12109375,0.0,1.0,0.0,0.0
23.487194061279297,3.0,1191.953125,0.0,1.0,0.0,92.02017413647926
24.009392738342285,2.3,1193.015625,0.0,1.0,0.0,0.0
24.53209638595581,2.0,1187.5859375,0.0,1.0,0.0,0.0
25.053940057754517,7.9,1388.8671875,0.0,1.0,0.0,0.0
25.68860149383545,20.7,2221.60546875,0.0,1.0,0.0,75.63703026676178
26.997857809066772,39.4,2360.7421875,0.0,1.0,0.0029835639932046707,1194.5504009073065
27.538397789001465,52.2,2374.90625,0.0,1.0,0.02890627997930477,0.0
28.104732275009155,53.1,2369.24609375,0.0,1.0,0.0,0.0
28.659608602523804,49.1,2369.4296875,0.0,1.0,0.028159428011618515,0.05631885602323703
29.239861488342285,48.5,2378.296875,0.0,1.0,0.0,58.41337816388407
29.830703735351562,47.4,2383.7265625,0.0,1.0,0.13883782078080134,0.0
30.371586561203003,39.1,2396.51953125,0.0,1.0,0.04333193601239869,0.0
30.908210515975952,50.4,2396.34375,0.0,1.0,0.10918959073452392,0.0
31.447946310043335,51.5,2415.69140625,0.0,1.0,0.057898698480795256,0.0
32.031975507736206,41.8,2416.91015625,0.0,1.0,0.0,0.0
32.58121204376221,47.5,2402.86328125,0.0,1.0,0.0071121452120859584,1995.7248436730167
33.126158237457275,51.7,2408.33203125,0.0,1.0,0.0,0.0
33.69238519668579,39.5,2416.4609375,0.0,1.0,0.0,0.0
34.23073935508728,51.2,2411.93359375,0.0,1.0,0.014511822520694006,0.18865369276902208
34.783241510391235,51.2,2409.2421875,0.0,1.0,0.0,0.1201918388236279
35.36865592002869,50.7,2402.015625,0.0,1.0,0.0,0.0
35.95396566390991,50.5,2400.82421875,0.0,1.0,0.0,0.0
36.53265905380249,50.2,2436.83984375,0.0,1.0,0.040500721814622186,0.0
37.11267566680908,37.0,2425.76953125,0.0,1.0,0.0,0.0
37.64786148071289,53.5,2435.58984375,0.0,1.0,0.07298866858048088,172.67659212770167
38.21480989456177,50.8,2425.78515625,0.0,1.0,0.0275598266408854,0.06200960994199215
38.79903817176819,53.5,2426.58203125,0.0,1.0,0.0,0.0
39.356590032577515,48.1,2422.7578125,0.0,1.0,0.05604859780153617,0.0
39.93181920051575,48.3,2398.98828125,0.0,1.0,0.02716308711535608,0.02037231533651706
40.490838289260864,39.4,2401.1015625,0.0,1.0,0.027950745000631213,0.0
41.0582971572876,48.1,2416.3046875,0.0,1.0,0.02753503536623538,0.04130255304935307
41.63461470603943,47.1,2436.828125,0.0,1.0,0.0338897367298638,0.0
42.19304013252258,39.6,2442.67578125,0.0,1.0,0.0,0.0
42.72665762901306,48.1,2441.765625,0.0,1.0,0.0,0.02928127376400373
43.28102207183838,52.9,2433.078125,0.0,1.0,0.09160264634072389,0.0
43.858611822128296,50.2,2417.31640625,0.0,1.0,0.08791923674980506,0.0
44.43216419219971,50.2,2407.41796875,0.0,1.0,0.0,0.0
45.01173520088196,52.8,2398.33203125,0.0,1.0,0.0,0.0
45.601160287857056,50.9,2387.90234375,0.0,1.0,0.013254440933441414,0.0
46.187647104263306,54.0,2390.30859375,0.0,1.0,0.0,0.019981267561660944
46.746355295181274,38.9,2390.3046875,0.0,1.0,0.04194944763829526,0.0
47.268728733062744,9.8,2390.00390625,1.0,1630.0,0.0,153.40886985946554
